time_only,robot_id,event_type,details,source
10:05:12,Robot_01,TripStarted,T101,Event Log
10:05:14,Robot_01,ResourceLockAcquired,Zone_A,Event Log
10:05:55,Robot_01,BatteryLowWarning,,Event Log
10:06:10,Robot_01,NetworkLatencyHigh,1450ms,Event Log
10:06:18,Robot_01,ResourceLockTimeout,Zone_B,Event Log
10:06:20,Robot_01,TripCancelled,T101,Event Log
10:10:00,Robot_01,Telemetry Anomaly,Batt:76% CPU:54% Lat:1450ms,Telemetry Data
10:15:00,Robot_02,TripStarted,T102,Event Log
10:15:00,Robot_02,TripStarted,T102,Event Log
10:17:40,Robot_03,TripStarted,T204,Event Log
10:17:42,Robot_03,ResourceLockAcquired,Zone_C,Event Log
10:18:05,Robot_03,PositionJumpDetected,,Event Log
10:18:15,Robot_03,TripCompleted,T204,Event Log
10:21:30,Robot_02,CPUHigh,95%,Event Log
10:24:00,Robot_02,Telemetry Anomaly,Batt:63% CPU:95% Lat:93ms,Telemetry Data
10:40:00,Robot_04,TripStarted,T301,Event Log
10:44:00,Robot_04,BatteryLevelJump,32->41,Event Log
